,Name,RegNo,Gender,8956-Place,8956-Points,8811-Place,8811-Points,8902-Place,8902-Points,8925-Place,8925-Points,8810-Place,8810-Points,Best3-Points,place
76,Pekařová Jana,0070002,F,16.,160,,,,,DISK,0,,,160,75
77,Stachoňová Barbara,ZBM8451,F,,,,,16.,160,,,,,160,75
78,Lvovská Leny,ZBM7557,F,,,17.,159,,,,,,,159,79
79,Skřivanková Anna,TBM0853,F,,,,,,,,,17.,159,159,79
80,Peštová Dagmar,ZBM0661,F,,,,,18.,158,,,,,158,81
81,Eliášková Hana,LBM8051,F,,,,,,,19.,157,,,157,82
82,Štěpánková Kateřina,TBM7654,F,,,,,,,,,19.,157,157,82
83,Nehybková Klára,0080001,F,,,21.,155,,,,,,,155,84
84,Beržinská Soňa,SBK8554,F,21.,155,,,,,,,,,155,84
85,Jágrová Vlasta,SBK7789,F,22.,154,,,,,,,,,154,86
86,Sedláčková Alžběta,TBM7872,F,,,,,DISK,0,,,22.,154,154,86
87,Strýčková Monika,ADA7454,F,,,,,,,22.,154,,,154,86
88,Dobrovolná Anna,TBM0758,F,,,,,22.,154,,,,,154,86
89,Kašpárková Lenka,nereg.,F,,,23.,153,,,,,,,153,90
90,Kozumplíková Lucie,VBM8254,F,23.,153,,,,,,,,,153,90
91,Grycová Petra,TBM7467,F,,,,,24.,152,,,,,152,92
92,Koutná Štěpánka,UOL9151,F,25.,151,,,,,,,,,151,93
93,Janíková Marie,ZBM7852,F,,,,,25.,151,DISK,0,,,151,93
94,Malivánková Eva,nereg,F,,,,,,,,,26.,150,150,95
95,Ondrůjová Lenka,ZBM9157,F,,,,,,,,,27.,149,149,96
96,Hažmuková Pavla,nereg.,F,,,,,27.,149,,,,,149,96
97,Jégrová Eliška,0070003,F,,,,,,,28.,148,,,148,98
98,Špirková Anežka,LPU9051,F,,,,,28.,148,,,,,148,98
99,Kožinová Zuzana Bravená,PGP9650,F,,,,,29.,147,,,,,147,100
100,Vršková Dagmar,TBM7855,F,29.,147,,,DISK,0,,,,,147,100
101,Sychrová Martina,0190002,F,,,,,,,,,31.,145,145,102
102,Provazník Ryglová Kateřina,TBM7372,F,,,,,,,,,32.,144,144,103
103,Zatloukalová Romana,ZLH9950,F,,,,,33.,143,,,,,143,104
104,Václavková Petra,ZBM7553,F,,,,,DISK,0,,,33.,143,143,104
105,Sýkorová Iva,VBM8256,F,,,,,34.,142,,,,,142,106
